type,value,notes,confidence,post_slug
other,Family A - 'BW panel' kit - selector 0xb68d1809,4 confirmed operator instances sharing one on-chain function interface - re-verified live a second time during revalidation - see selector,high,etherhiding-ecosystem-mapped
selector,0xb68d1809,Family A shared EtherHiding read selector ('get current C2') - live-verified via eth_call against all 4 Family A contracts - independently re-tested twice,high,etherhiding-ecosystem-mapped
contract,0xB6bC9e1D0b2fB96Ab7C47E04Cb0BE477410bC1f2,Family A - Operator 1 / 'xdav' - live contract - 25 updateDomain calls as of revalidation (was 23) - 106 of 123 confirmed sites reconfirmed live - see authorization-cdn-etherhiding-clickfix campaign for full IOC detail,high,etherhiding-ecosystem-mapped
wallet,0xCaf2C54E400437da717cF215181B170F65187aBf,Family A - Operator 1 / 'xdav' wallet - directly funded the BW-sibling operator wallet below (50 MATIC 2026-03-05 - 14 minutes before first deployment - corrected from an original one hour estimate) - financial hub tying at least 2 of the 4 Family A operators together on-chain,high,etherhiding-ecosystem-mapped
contract,0x83833C5D676cA06E941A32310AE67D0890F657eE,Family A - Operator 2 - 24 of 27 confirmed sites reconfirmed live - see authorization-cdn-etherhiding-clickfix campaign for full IOC detail,high,etherhiding-ecosystem-mapped
wallet,0xf1940DDBDA56074ce29bB0b6eA8D62db974870a5,Family A - Operator 2 wallet - domain-name overlap only (hahletsgoagain[.]beer) with BW-sibling - no confirmed on-chain funding link to xdav or BW-sibling,medium,etherhiding-ecosystem-mapped
contract,0x0C7Cb01C83203aC0a50Abc3a9AFF3c9Ca727eF55,Family A - Operator 3 - 4 updateDomain calls as of revalidation (was 3) - 2 of 3 confirmed sites reconfirmed live - see authorization-cdn-etherhiding-clickfix campaign for full IOC detail,high,etherhiding-ecosystem-mapped
wallet,0x2F9091AB4Ec91c0dAa67a7660c81A922328A8096,Family A - Operator 3 wallet,high,etherhiding-ecosystem-mapped
contract,0x926d64543148dB649C4F877fE7ba4c693e01E288,Family A - BW-sibling operator (new) - seed contract of 87 total this operator controls - 2 of the 87 carry placeholder/test values not real domains,high,etherhiding-ecosystem-mapped
wallet,0xb0425bf235a2275735c8c5d668aa0273c65970b9,Family A - BW-sibling operator wallet - 87 contracts deployed/updated - funded directly by xdav's wallet - 56 of 111 original sites reconfirmed live plus 167 newly found from a freshly rebuilt candidate pool,high,etherhiding-ecosystem-mapped
domain,ns-claude-js[.]beer,Family A - BW-sibling current C2 (as of 2026-07-11),high,etherhiding-ecosystem-mapped
domain,auth-code-check[.]info,Family A - Operator 1/xdav current C2 (as of revalidation - rotated since the 2026-07-08 post),high,etherhiding-ecosystem-mapped
domain,iwannagetmoremoney[.]beer,Family A - Operator 2 current C2 (as of revalidation),high,etherhiding-ecosystem-mapped
domain,hihankidaha[.]cc,Family A - Operator 3 current C2 (as of revalidation - rotated since the published hilacbatoriaaa[.]cc),high,etherhiding-ecosystem-mapped
other,Family A - 87 contracts / 90 C2 domains (BW-sibling operator only),Full lists in family_a_bwsibling_all_contracts.txt / family_a_bwsibling_all_c2_domains.txt - independently re-derived during revalidation,high,etherhiding-ecosystem-mapped
other,Family B - 'merabs/mamkor' Go RunPE kit - selector 0x38bcdc1c,1 confirmed operator instance - distinct on-chain interface from Family A - live-verified does NOT implement 0xb68d1809 (reverts) - re-tested twice,high,etherhiding-ecosystem-mapped
selector,0x38bcdc1c,Family B EtherHiding getter selector - distinct from Family A's 0xb68d1809 - confirmed by direct eth_call to both contracts with both selectors - independently re-tested twice,high,etherhiding-ecosystem-mapped
contract,0x08207B087F61d7e95E441E15fd6d40BEfd6eD308,Family B - mamkor/merabs - persistent contract - 127 setter calls (exact match on re-derivation) - 629 of 638 original sites reconfirmed live plus 870 newly found from a freshly rebuilt 4993-host candidate pool (871 raw minus 1 IP/hostname duplicate) = 1499 confirmed total,high,etherhiding-ecosystem-mapped
wallet,0x34c15320d6e8f59f1b66f6c191aaa7f87b894b66,Family B - mamkor/merabs operator wallet - sole setter (127 calls - independently re-derived exact match),high,etherhiding-ecosystem-mapped
domain,mamkor[.]pro,Family B current C2 (as of 2026-07-10),high,etherhiding-ecosystem-mapped
other,Family B - 108 historical C2 domains (bare-domain-normalized),Full list in family_b_mamkor_all_c2_domains.txt - independent re-derivation found 108 unique normalized domains across the same 127 setter calls versus an originally published 102 - see revalidation log,high,etherhiding-ecosystem-mapped
domain,gppcdnns[.]beer,Shared C2 domain across BOTH families - BW-sibling (Family A) deployed 2026-05-28 09:46 UTC - mamkor/merabs (Family B) set via setter call 2026-05-28 22:26:45 UTC - ~13 hours apart same day - only overlap found across all 198 domains checked - not evidence of a shared operator (selector test already rules that out) - see revalidation-2026-07-11-full/00_REVALIDATION_LOG.md Step 10,high,etherhiding-ecosystem-mapped
