type,value,notes,confidence,post_slug
domain,digitalaccessmanagement[.]com,STAR SC relay; CF DAMIETE+LIA; IP 216.126.227[.]29; Cloudzy,high,star-rmm-turf-war
domain,office1001[.]com,STAR SC relay; CF LOUIS+HALEY; IP 172.86.127[.]33; Cloudzy,high,star-rmm-turf-war
domain,office1002[.]com,STAR SC relay; CF NANCY+KELLEN; IP 45.61.148[.]2; Cloudzy,high,star-rmm-turf-war
domain,office1003[.]com,STAR SC relay; CF NANCY+KELLEN; IP 193.143.1[.]106; Proton66 RU,high,star-rmm-turf-war
domain,office1004[.]com,STAR SC relay; CF NANCY+KELLEN; IP 37.77.150[.]69; Proton66 RU,high,star-rmm-turf-war
domain,dentalfaxgate[.]vip,STAR SC relay; CF NANCY+KELLEN; IP 91.215.85[.]231; Prospero RU,high,star-rmm-turf-war
ip,216.126.227[.]29,Cloudzy; digitalaccessmanagement[.]com SC relay,high,star-rmm-turf-war
ip,172.86.127[.]33,Cloudzy; office1001[.]com SC relay,high,star-rmm-turf-war
ip,45.61.148[.]2,Cloudzy; office1002[.]com SC relay,high,star-rmm-turf-war
ip,193.143.1[.]106,Proton66 RU; office1003[.]com SC relay,high,star-rmm-turf-war
ip,37.77.150[.]69,Proton66 RU; office1004[.]com SC relay,high,star-rmm-turf-war
ip,91.215.85[.]231,Prospero RU; dentalfaxgate[.]vip SC relay,high,star-rmm-turf-war
ip,51.89.204[.]91,Competitor C2 blocked by Star_v3.ps1,medium,star-rmm-turf-war
ip,216.244.73[.]27,Competitor C2 blocked by Star_v3.ps1,medium,star-rmm-turf-war
domain,simcomp.rockfordcomputers[.]net,Competitor SC relay sinkholed by Star_v3.ps1,medium,star-rmm-turf-war
domain,screlay.amtechcomputers[.]com,Competitor SC relay sinkholed by Star_v3.ps1,medium,star-rmm-turf-war
domain,af12411agga.anondns[.]net,Competing malware C2 blocked by Star_v3.ps1,medium,star-rmm-turf-war
domain,zinoitalia[.]io,Competing malware C2 blocked by Star_v3.ps1,medium,star-rmm-turf-war
domain,sc.harbortechgrp[.]com,Competitor SC relay sinkholed by Star_v3.ps1,medium,star-rmm-turf-war
url,hxxps://t[.]me/+Q_lHOJF9QQQ1Njk5,Checker Channel Telegram invite link,high,star-rmm-turf-war
url,hxxps://t[.]me/+VLotyIv-UZJlYTky,APPLY group Telegram invite link,high,star-rmm-turf-war
telegram_bot_token,8561959266:AAEI32HfP40cKQwtAtSyS6o9Srcjd7W7B9A,@Check12899_bot - QBO data channel,high,star-rmm-turf-war
telegram_bot_token,8638944609:AAECv0FW5fCFPxp4cNz-Mp856SyocgfEgdA,@AndrewTateSigma_bot - wallet data,high,star-rmm-turf-war
telegram_bot_token,8662428383:AAE7q7noOfH_12SZJPCQNB1A98DqnyAn344,@botbybost_bot - browser history,high,star-rmm-turf-war
telegram_chat_id,-1003277400990,Checker Channel (5 members),high,star-rmm-turf-war
telegram_chat_id,-5212689198,APPLY group (4 members),high,star-rmm-turf-war
telegram_user_id,7423684294,@sadfewego "Star" - wallet DM recipient and APPLY creator,high,star-rmm-turf-war
telegram_user_id,8238936394,@head_exp - wallet DM co-recipient,high,star-rmm-turf-war
telegram_user_id,4124665,@LetssRoll - senior operator with promote rights,high,star-rmm-turf-war
telegram_user_id,6636177227,@LysayaGnida7 - Checker Channel creator (Russian-confirmed),high,star-rmm-turf-war
telegram_user_id,8388183361,@sunchez1337 - Checker Channel admin,high,star-rmm-turf-war
sc_instance_id,8df439ea69ba1ba8,STAR relay: digitalaccessmanagement[.]com (digitalacces_Star),high,star-rmm-turf-war
