type,value,notes,confidence,post_slug
sha256,1497f9320728557f034ba168ce6393b39ac6b276b9330027b31b62705e25ca5f,pf.ch (payload.dll) -- 14.4 MB -- incident 1,high,webdav-over-ssl-loader-family
md5,794ff80d63bcbcdbcd31954962a46eed,pf.ch alternate hash for pivoting -- incident 1,high,webdav-over-ssl-loader-family
sha256,dede16185618cb29f0c03ab086bcfeed64eeb356bb846a4140d73fe020127e50,pf.ch (payload.dll) -- 14 MB -- MinGW GCC 10.3.0 -- incident 2,high,webdav-over-ssl-loader-family
md5,bbbe46552834f8011e2aea062566bafd,pf.ch alternate hash for pivoting -- incident 2,high,webdav-over-ssl-loader-family
sha256,00a19cc54a534e570e2282aa192d9aed7922441c37e8ed98facb719e3b9e9d8b,jsDelivr stage-1 PowerShell script -- incident 2,high,webdav-over-ssl-loader-family
sha256,f11057ab58bef936d98ba189829c64260a6a540cdaa046f93613138e820c98c6,gc.key PE32+ DLL -- 1.27 MB -- incident 4,high,webdav-over-ssl-loader-family
sha256,1c135ee1c61b00156ad234569d9f65f5e50d524b8dba862abe45af8f67d1a216,gc.key (payload.dll) -- 5.84 MB -- MinGW -- export hawer -- incident 5,high,webdav-over-ssl-loader-family
md5,556c72794c0a97dafc7ff64c852758b8,gc.key alternate hash for pivoting -- incident 5,high,webdav-over-ssl-loader-family
sha256,e3d8f4c51a61733ba12006f9b82ad0ecc22205f83d67becad1b04ad5294df742,Inner DWORD-decoded blob recovered from gc.key native unpack -- incident 5,medium,webdav-over-ssl-loader-family
sha256,4b5d9021722da53b2c509d3ab9c65aa5202d14c9f03b598c018fbcc4b8c01a3d,WindowsSecurityUpdate.exe -- NOT malware -- saved GitHub 404 page found in incident 6 evidence folder -- do not use as a malware IOC,low,webdav-over-ssl-loader-family
filename,pf.ch,DLL served with spoofed Content-Type application/vnd.apple.keynote -- incidents 1-3,high,webdav-over-ssl-loader-family
filename,gc.key,DLL served with spoofed Content-Type application/vnd.apple.keynote -- incidents 4-5,high,webdav-over-ssl-loader-family
filename,goog.ct,DLL -- payload never recovered -- incident 6,medium,webdav-over-ssl-loader-family
export,EventDebuggerLaunchCallback,Ordinal #1 export name on pf.ch builds,high,webdav-over-ssl-loader-family
export,hawer,Ordinal #1 export name on incident-5 gc.key build,high,webdav-over-ssl-loader-family
guid,2ffc4ddb-7b9c-44cb-b774-bf347ec8c2d2,WebDAV delivery GUID -- euphemism.1xfa[.]xyz -- incident 1,high,webdav-over-ssl-loader-family
guid,36580b02-9d9c-4a93-81a8-46f87779e789,WebDAV delivery GUID -- sjc3.sabad724[.]bio -- incident 2,high,webdav-over-ssl-loader-family
guid,b4592421-fcfc-44b1-8d11-72aec0e14844,WebDAV delivery GUID -- mbumias.1xgame[.]bet -- incident 3,high,webdav-over-ssl-loader-family
guid,62f4ef88-a697-4c29-8316-650185e22d7e,WebDAV delivery GUID -- pmaumei.1xgame[.]bet -- incident 3 sibling,high,webdav-over-ssl-loader-family
guid,072d9420-f4da-402d-ab74-9195bee8d427,WebDAV delivery GUID -- fdg.jetbet1[.]xyz -- incident 3 cluster,medium,webdav-over-ssl-loader-family
guid,d3dbf8c3-6e72-4c90-ab16-ee266cf1d38f,WebDAV delivery GUID -- nbv.prozhedownload[.]com -- incident 3 cluster,medium,webdav-over-ssl-loader-family
guid,5ef443ad-1d5b-4172-8c90-2e7439c9bda5,WebDAV delivery GUID -- epgggtee.leaguejazire[.]com -- incident 3 cluster,medium,webdav-over-ssl-loader-family
guid,60e52e8b-2281-41bd-996e-7e4dc9612e13,WebDAV delivery GUID -- cduh.betwanaa[.]com -- incident 4,high,webdav-over-ssl-loader-family
guid,5826e814-dd4b-421d-ace4-c05caca5072d,WebDAV delivery GUID -- bhvj.betwanaa[.]com -- incident 4 sibling,high,webdav-over-ssl-loader-family
guid,7c6e2f79-6915-4a1b-b3fc-276ccaf33c37,WebDAV delivery GUID -- yjduhfcs.boroo[.]bet -- incident 4,high,webdav-over-ssl-loader-family
